"","Aulacorhynchus prasinus","Myadestes melanops","Turdus plebejus","Pharomachrus mocinno","Chiroxiphia linearis","Semnornis frantzii","Procnias tricarunculata","Chlorospingus ophthalmicus","Chamaepetes unicolor","Elaenia frantzii","Ramphastos sulfuratus","Chlorophonia callophrys","Tityra semifasciata","Trogon aurantiiventris","Catharus ustulatus","Phainoptila melanoxantha","Psilhorinus morio","Tangara dowii","Turdus assimilis","Columba fasciata","Megarhynchus pitangua","Turdus grayi","Mionectes olivaceus","Momotus momota","Myiarchus tuberculifer","Myiozetetes similis","Atlapetes gutturalis","Euphonia hirundinacea","Myiodynastes luteiventris","Piculus rubiginosus","Melanerpes aurifrons","Melozone leucotis","Thrauphis episcopus","Columba flavirostris","Dacnis venusta","Elaenia flavogaster","Icterus galbula","Pheucticus ludovicianus","Piranga rubra","Tangara icterocephala"
"Rapanea myricoides",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus rosaefolia",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schefflera robusta",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_SD_019",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylosma intermedium",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bunchosia pilosa",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casearia sylvestris ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Clibadium sp2 M_SD_019",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Concostegia puberrula",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coussarea sp1 M_SD_019",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
